smiles,identifier,P_TR,PS,rank
CC(=O)N[C@@H]1CO[C@@H]2[C@@H]1OC[C@@H]2NC1=NC=CC(C2=CC=CO2)=N1,CNP0167832.1,0.0034540239721536636,0.002953190496191383,2834
CN1C=C([C@H]2N3C[C@@]4(C)C[N@]2C[C@@](C)(C3)[C@@H]4N)C2=CC=CC=C21,CNP0388797.2,0.0034435566049069166,0.0029442408971954138,2835
O=C(NCCC1=CC=C(O)C=C1)C1=CC=CN=C1,CNP0117219.0,0.0034249979071319103,0.002928373210597782,2836
CC(C)(C)CC(=O)N[C@H]1C[C@H]2C(=O)NC3=CC(Cl)=CC=C3C(=O)N2C1,CNP0027498.1,0.0034152173902839422,0.00292001086869277,2837
CC1=CC=C(C)N1CC(=O)N1C[C@H]2C[C@@H](C1)C1=CC=CC(=O)N1C2,CNP0339831.1,0.003410706762224436,0.0029161542817018925,2838
C1=CC=C(O[C@H]2COCCN(CC3=CC=CC=N3)C2)C=C1,CNP0005504.1,0.003404359333217144,0.0029107272299006585,2839
CC(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC1=NC=CC(C2=CC=CO2)=N1,CNP0167832.2,0.003404197283089161,0.0029105886770412334,2840
NC1(CC2=NOC(COC3=CC=CC=C3)=C2)COC1,CNP0015274.0,0.00339300325140357,0.0029010177799500517,2841
COC1=CC=CC(NC(=O)N[C@H]2C[C@@H](C3=NC(C)=NO3)N(C)C2)=C1,CNP0013230.1,0.0033928891643881798,0.002900920235551895,2842
COC1=CC2=C(C=C1O)[C@@H]1CC3=CC=CC=C3CN1CC2,CNP0266412.1,0.0033904246520251036,0.0028988130774814645,2843
COC1=CN(CC(=O)N(C)CC2=CC=CC=C2)C(CO)=CC1=O,CNP0398920.0,0.003387105418369174,0.0028959751327056445,2844
CNC(=O)[C@@H]1CC2=CC=CC=C2N1C(=O)CC1=CC=CC=C1C(=O)O,CNP0189749.1,0.0033720724750310183,0.002883121966151522,2845
CC(=O)N1CC(NC2=CC=CC3=C2C=CN3CC(=O)O)=CC1=O,CNP0319292.0,0.003356747329235077,0.00287001896649599,2846
CCCN1C(=O)[C@H]2NCC[C@H]2N(CC2=CC=CS2)C1=O,CNP0472705.1,0.0033522583544254303,0.0028661808930337436,2847
COC1=CC=CC(CC(=O)N[C@H](C)C2=C(C(=O)O)C(C)=NO2)=C1,CNP0015416.1,0.00335075450129807,0.0028648950986098496,2848
CC(C)(C)CN[C@@H]1[C@@H](O)CO[C@@H]1CN1C=C(C(C)(C)C)N=N1,CNP0593665.1,0.00332814222201705,0.002845561599824577,2849
O=C(NCC(=O)N1C[C@H]2CC3=CC=CC(=O)N3[C@@H](C2)C1)C1=CC=CC=C1,CNP0552763.1,0.0033252097200602293,0.0028430543106514965,2850
CC1=NN(C)C([C@H]2CC[C@@H](O)[C@H](NC(=O)C3=NC=CS3)C2)=N1,CNP0531453.1,0.003323362674564123,0.002841475086752324,2851
